consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,key_resp_4.keys,key_resp_4.rt,click_action.keys,click_action.corr,click_action.rt,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,click_action_2.keys,click_action_2.corr,click_action_2.rt,action_selection_two.thisRepN,action_selection_two.thisTrialN,action_selection_two.thisN,action_selection_two.thisIndex,action_selection_two.ran,resp4.keys,resp4_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,action2,resp4.rt,resp4_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_24.keys,key_resp_24.rt,key_resp_25.keys,key_resp_25.rt,key_resp_34.keys,key_resp_34.rt,PR_vs_SR.thisRepN,PR_vs_SR.thisTrialN,PR_vs_SR.thisN,PR_vs_SR.thisIndex,PR_vs_SR.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,a1,a2,r5_num,corr_quiz_ans,type_trial_immediate_first,key_resp_8.keys,key_resp_8.rt,key_resp_29.keys,key_resp_29.rt,transition_reval_choice.keys,transition_reval_choice.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,14,1,compass.png,watch.png,trident.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1.0537,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.7851,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,15,1,compass.png,watch.png,trident.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0.8392,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.0506,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,16,1,compass.png,tree.png,planet.png,5,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1.0679,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.0838,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,17,1,north.png,watch.png,trident.png,3,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0.7382,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.5016,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,18,1,compass.png,tree.png,planet.png,5,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1.1408,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.1855,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,19,1,compass.png,tree.png,planet.png,5,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1.333,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.0342,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,20,1,apple.png,fox.png,trident.png,6,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0.6539,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.1168,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,21,1,compass.png,tree.png,planet.png,5,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1.3606,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.988,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,22,1,north.png,tree.png,planet.png,3,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.8495,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.0843,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,23,23,1,train.png,watch.png,trident.png,2,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1.1099,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.7347,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,24,24,1,apple.png,fox.png,trident.png,6,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0.8908,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.0041,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,25,25,1,tophat.png,tree.png,planet.png,4,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0.9513,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.8856,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,26,26,1,compass.png,watch.png,trident.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.4014,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.8586,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,27,27,1,snorkel.png,watch.png,trident.png,1,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1.2259,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.3211,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,a,0,28,28,28,1,train.png,tree.png,planet.png,2,a,6.1841,11.7019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1.0217,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.0365,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,29,29,1,north.png,watch.png,trident.png,3,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.9596,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.25,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,30,30,1,snorkel.png,tree.png,planet.png,1,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.7359,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.8545,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,31,31,1,snorkel.png,tree.png,planet.png,1,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0.8032,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.0034,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,32,32,1,compass.png,tree.png,planet.png,5,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0.7356,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.8328,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,33,33,1,compass.png,watch.png,trident.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56ce42d9465e580006846f57,001,2023-08-14_15h13.17.694,study6,2022.2.5,Win32,60.02040694,56ce42d9465e580006846f57,64da092c7a22c2da8d708e87,64da3665d073bc17cfb546be,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.7693,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
